plant_id,plant_type,country,capacity_mw,generation_mwh,co2_emissions_tons,energy_price_eur_mwh,date
317,Solar,France,161.31,156.85,1126.2,66.56,2024-06-20
143,Solar,Germany,217.42,4418.65,1267.63,82.77,2023-07-17
261,Hydro,Germany,409.56,2692.56,1861.47,106.13,2024-05-13
301,Solar,Germany,206.88,2942.63,475.6,138.07,2023-05-09
369,Gas,Netherlands,458.14,799.09,1413.07,91.23,2023-02-05
450,Solar,France,422.06,4029.73,400.72,117.55,2024-03-12
403,Coal,Spain,100.41,2680.79,1571.73,191.72,2024-12-13
370,Gas,Germany,82.08,488.28,61.35,53.42,2023-01-15
314,Solar,Spain,125.7,3519.55,537.95,49.63,2023-05-14
351,Gas,Germany,183.04,2470.22,515.71,125.89,2024-03-03
289,Solar,Netherlands,293.82,1706.57,1697.61,192.43,2023-10-29
395,Gas,Germany,66.42,4611.83,1095.34,154.62,2023-08-20
312,Wind,Netherlands,268.36,4115.33,826.8,66.26,2024-10-17
307,Hydro,France,292.48,261.83,488.68,161.54,2023-03-19
336,Gas,France,332.14,3508.21,645.6,78.31,2023-07-26
437,Coal,Spain,277.3,902.07,1442.93,79.23,2023-03-28
466,Hydro,Germany,413.46,132.56,1700.45,69.14,2024-08-12
152,Hydro,France,322.59,1132.27,183.97,126.02,2024-02-26
379,Solar,Italy,462.65,286.39,29.03,20.06,2024-05-09
316,Gas,Italy,351.96,3209.26,1098.15,23.72,2024-10-11
351,Hydro,Spain,220.87,3799.4,1675.36,153.04,2024-10-19
287,Coal,France,108.79,931.82,45.49,30.64,2023-10-11
479,Coal,Netherlands,10.21,1086.29,1157.2,154.89,2023-03-02
140,Coal,Italy,49.75,713.61,1629.35,72.89,2023-06-29
256,Solar,France,98.89,2833.72,226.85,163.35,2024-08-07
114,Wind,Netherlands,112.14,2472.22,723.94,132.79,2024-08-27
400,Gas,Germany,372.31,80.45,201.58,159.0,2023-02-21
164,Hydro,France,196.1,1879.68,76.55,102.81,2024-10-12
444,Gas,Germany,165.65,485.83,988.14,173.05,2024-04-12
426,Hydro,Italy,30.92,2915.98,1329.59,74.38,2023-02-10
108,Solar,Germany,271.64,2395.25,1844.91,70.97,2023-03-08
443,Gas,Italy,308.39,2321.52,617.13,23.32,2024-11-22
228,Solar,Spain,439.54,3688.92,521.09,57.28,2024-06-23
235,Solar,Spain,253.91,2323.87,1245.89,79.76,2023-02-22
162,Gas,Italy,8.82,2456.6,1894.5,167.05,2024-12-28
238,Gas,Netherlands,37.31,3181.53,371.44,43.53,2023-10-17
180,Hydro,Spain,139.15,1541.71,237.3,116.22,2024-05-04
491,Coal,Netherlands,73.9,4690.15,1686.59,69.47,2023-03-05
262,Solar,Netherlands,386.44,1443.32,267.99,126.48,2024-05-25
388,Wind,Netherlands,58.39,4573.19,870.3,199.92,2023-01-19
478,Hydro,France,84.59,4077.72,1562.8,165.68,2023-10-10
360,Hydro,France,335.06,4535.92,750.51,58.5,2024-01-01
330,Coal,Netherlands,123.62,957.23,1298.96,186.65,2023-06-23
140,Coal,Italy,484.7,1194.76,1585.63,81.9,2024-02-26
127,Solar,Spain,432.28,4246.7,1079.69,137.6,2024-07-06
234,Hydro,Germany,373.55,4788.0,400.19,189.69,2023-09-11
300,Hydro,France,174.85,3778.38,450.59,174.13,2023-09-29
427,Wind,France,33.11,3208.13,1967.26,101.38,2023-05-18
367,Solar,Germany,171.52,4056.56,1622.56,41.3,2024-07-10
132,Solar,Netherlands,191.48,255.91,638.73,105.34,2024-03-29
147,Coal,Germany,68.08,4278.99,356.59,133.95,2024-11-12
161,Solar,Netherlands,64.72,1441.58,562.24,60.8,2023-10-03
315,Wind,France,335.71,330.45,1642.11,42.18,2024-11-29
392,Solar,Germany,120.04,3423.91,1190.84,193.76,2023-06-10
198,Gas,Italy,340.62,3776.29,1380.89,166.03,2023-02-21
271,Gas,Spain,276.41,3154.56,1313.08,124.62,2023-08-15
459,Wind,Spain,451.22,1783.19,1709.46,123.4,2024-11-04
313,Coal,Spain,399.6,630.17,1975.94,155.79,2023-07-30
134,Hydro,Germany,79.93,3856.5,1261.2,154.74,2024-12-22
326,Solar,Netherlands,307.03,284.42,1209.33,52.03,2024-09-12
200,Coal,France,328.3,3810.5,224.35,76.45,2024-08-23
230,Coal,Spain,431.72,4789.37,1843.05,136.14,2023-04-03
356,Solar,Germany,322.27,4984.23,125.37,155.77,2024-11-09
104,Hydro,Spain,74.65,2011.72,1355.31,29.23,2024-03-18
317,Solar,Netherlands,132.93,587.88,1485.61,147.55,2023-04-09
354,Hydro,Italy,320.61,517.93,664.45,22.62,2024-09-04
497,Wind,Italy,456.41,2483.08,207.11,71.33,2024-12-24
458,Hydro,France,446.31,3969.18,849.67,191.55,2024-06-12
382,Coal,Italy,182.8,287.0,479.67,98.11,2024-03-27
492,Wind,Italy,416.18,883.22,1187.88,108.5,2023-02-22
306,Gas,Germany,258.09,2963.65,69.8,153.14,2024-06-01
114,Wind,Germany,234.85,473.01,96.32,125.11,2024-05-15
445,Hydro,France,178.69,4398.14,1145.63,74.53,2024-04-06
141,Wind,France,340.71,2540.34,276.23,126.19,2024-12-30
479,Wind,Germany,301.8,1964.84,718.62,117.9,2023-01-12
278,Gas,Italy,190.46,115.5,1749.97,43.13,2023-06-20
162,Hydro,Netherlands,382.6,609.29,49.42,153.99,2024-10-02
451,Coal,Italy,192.78,4146.66,299.12,129.4,2024-12-18
330,Wind,Italy,294.27,3509.87,1810.51,31.42,2024-11-16
340,Solar,Netherlands,199.23,150.91,760.44,45.96,2024-02-29
151,Coal,France,62.85,4871.17,733.41,43.53,2023-04-04
195,Wind,Germany,84.79,1798.61,1106.52,32.57,2024-07-31
487,Coal,France,330.09,3051.63,879.01,57.73,2023-03-26
321,Solar,France,406.56,3626.88,1548.58,123.29,2023-06-11
330,Coal,France,236.89,4784.76,562.33,41.92,2023-05-06
336,Coal,Germany,166.17,4457.64,302.42,59.54,2024-03-16
242,Solar,France,171.57,3007.2,1109.29,185.77,2023-04-27
270,Solar,France,300.84,739.79,941.45,132.4,2023-10-08
128,Solar,Spain,236.51,4232.86,719.06,122.27,2024-03-24
135,Gas,Italy,5.37,4092.93,755.33,62.73,2023-11-19
112,Solar,Spain,386.88,3213.75,1820.65,113.5,2024-01-21
259,Coal,Germany,75.45,4946.69,1587.11,58.17,2023-05-06
426,Solar,Netherlands,339.03,2665.07,399.97,114.57,2024-11-18
286,Wind,Netherlands,175.39,1107.98,886.24,158.17,2024-10-16
342,Solar,Spain,291.11,1306.15,1506.47,131.56,2023-02-11
185,Solar,Spain,428.28,2062.72,1037.64,73.33,2023-09-03
383,Hydro,Spain,81.36,2142.38,1867.47,146.12,2023-04-17
165,Coal,Italy,389.93,4164.22,1422.97,83.29,2024-07-27
269,Coal,Germany,23.96,4440.38,280.85,63.51,2023-06-11
144,Wind,France,461.08,1944.56,799.0,83.05,2024-02-26
161,Gas,Spain,104.79,4729.24,1714.32,109.46,2023-01-20
233,Hydro,Italy,398.23,4644.02,802.01,152.26,2024-11-13
383,Wind,Netherlands,38.27,2082.34,1019.32,197.34,2023-02-23
127,Wind,Netherlands,166.89,4346.95,1630.26,197.25,2024-04-29
207,Coal,Netherlands,318.61,608.46,40.16,148.3,2023-07-05
143,Hydro,Spain,331.12,2580.61,155.36,32.13,2024-05-25
439,Coal,Netherlands,350.91,3577.74,530.11,119.58,2023-10-26
385,Gas,Netherlands,178.68,1760.56,1532.18,53.84,2023-08-06
430,Coal,Netherlands,334.67,164.3,552.27,80.59,2024-05-19
227,Solar,France,217.11,324.55,827.85,116.47,2024-04-17
447,Coal,Netherlands,285.13,4478.08,688.11,78.81,2024-11-27
330,Solar,Italy,275.88,2616.54,1600.58,161.39,2023-09-01
289,Wind,Spain,88.23,803.87,1213.46,26.91,2024-04-05
324,Gas,France,424.07,4515.48,434.7,90.88,2023-04-17
484,Solar,France,434.23,4713.81,1766.65,149.69,2024-10-10
476,Gas,Spain,105.84,1664.05,21.81,196.74,2024-12-02
382,Coal,Netherlands,211.18,2950.63,836.13,119.5,2023-06-15
220,Coal,Netherlands,235.11,1662.69,1593.11,171.82,2024-07-05
215,Wind,Germany,276.72,3640.05,920.0,108.45,2023-05-03
332,Coal,Netherlands,16.02,4742.26,562.58,199.91,2024-05-16
358,Solar,Italy,380.61,187.89,1837.24,179.96,2023-09-03
458,Wind,Netherlands,431.67,2380.81,1336.17,135.52,2024-09-24
297,Gas,Spain,75.39,4005.42,1083.55,116.88,2024-11-10
236,Wind,Netherlands,448.83,3461.4,1854.68,187.33,2023-07-08
417,Gas,Spain,426.2,952.06,1818.08,142.42,2023-07-13
264,Hydro,France,273.42,1991.36,691.37,180.72,2023-02-08
324,Solar,Germany,140.99,2368.0,698.4,101.93,2024-10-25
406,Solar,France,107.71,3737.61,588.09,99.95,2023-09-18
333,Gas,Spain,247.12,2322.55,566.71,195.34,2023-03-15
271,Coal,Germany,256.07,1604.23,286.87,171.1,2024-12-29
251,Coal,France,327.67,2104.26,1281.51,117.09,2023-11-29
414,Hydro,Netherlands,401.81,4836.1,599.55,180.78,2024-01-11
473,Gas,Netherlands,467.58,281.51,896.34,35.39,2023-11-25
259,Hydro,Germany,399.16,1702.28,953.26,89.72,2023-07-26
195,Gas,France,454.98,1029.98,1339.77,78.98,2023-04-17
332,Hydro,Italy,252.19,2032.49,1650.19,178.77,2023-02-23
279,Gas,Italy,24.25,2949.48,1937.94,104.58,2023-03-05
212,Solar,Italy,30.66,1011.7,878.55,104.22,2024-02-27
417,Hydro,France,137.9,2161.15,1707.66,39.68,2024-03-01
151,Hydro,France,308.92,4147.87,1066.07,129.0,2023-03-31
367,Gas,France,170.94,3228.51,1868.65,104.67,2023-06-16
394,Wind,Spain,87.24,3412.25,1520.38,47.76,2024-06-20
485,Wind,Italy,426.0,4704.8,1371.65,167.2,2023-11-23
486,Solar,Italy,492.57,2074.36,835.42,128.31,2024-06-28
212,Coal,Italy,13.24,4990.15,607.18,189.09,2024-08-15
200,Coal,Spain,49.26,1941.12,1613.79,111.1,2024-06-05
212,Solar,Spain,252.17,954.29,1161.31,133.18,2024-07-02
180,Coal,France,172.15,4047.07,156.32,83.08,2024-04-11
286,Gas,Italy,392.16,2574.36,870.2,115.14,2023-05-09
212,Wind,Italy,328.88,1757.5,290.11,82.02,2023-02-08
101,Solar,Netherlands,38.91,1269.3,55.16,37.99,2023-09-15
229,Gas,Netherlands,274.72,4116.39,1984.33,34.39,2023-07-14
319,Solar,Netherlands,171.58,2841.79,1084.71,81.27,2024-03-11
153,Wind,Spain,482.73,3140.84,1624.8,36.62,2023-09-10
442,Coal,France,240.26,2338.22,900.62,54.7,2024-08-02
323,Gas,Germany,464.19,1111.62,1270.33,50.24,2024-08-03
324,Wind,Italy,19.94,1721.03,1980.75,153.28,2023-10-20
484,Solar,Netherlands,56.12,687.09,1309.11,102.36,2024-09-09
225,Hydro,Italy,196.2,1738.89,325.48,30.61,2023-10-31
229,Gas,Italy,444.04,4567.86,1573.13,60.28,2024-03-02
152,Solar,Italy,274.58,2895.57,1858.7,31.97,2024-07-16
271,Solar,France,412.95,278.7,644.63,59.06,2024-07-04
317,Wind,Italy,145.35,3832.54,447.2,139.43,2023-07-23
259,Solar,France,60.19,3849.92,529.56,163.09,2024-06-06
297,Gas,Germany,126.79,3809.49,333.95,169.93,2024-08-05
346,Gas,Germany,324.43,3101.84,423.24,48.59,2024-01-28
423,Solar,Spain,436.35,205.98,1376.97,145.13,2023-10-20
302,Wind,Italy,230.22,1944.07,736.5,40.71,2024-12-13
283,Gas,Netherlands,100.84,1660.12,1772.43,192.82,2023-05-30
222,Hydro,Spain,320.62,154.62,717.29,93.26,2023-01-08
354,Coal,Spain,102.48,474.04,1836.54,26.36,2023-12-09
393,Wind,Germany,287.29,2131.1,266.31,44.4,2024-11-02
379,Wind,Netherlands,55.63,4409.78,67.61,170.63,2023-04-28
424,Coal,Italy,406.51,4810.62,1565.93,81.41,2024-06-15
471,Coal,Italy,403.56,3729.96,1535.38,23.83,2023-06-26
197,Gas,Germany,272.92,1166.87,1396.19,132.77,2024-03-18
297,Solar,France,23.9,4612.52,842.86,194.72,2023-12-30
494,Solar,Germany,143.69,4891.0,399.37,25.9,2023-01-14
339,Hydro,Netherlands,73.45,2179.72,460.51,146.84,2024-10-09
243,Solar,France,264.11,2633.39,1602.16,127.39,2024-02-18
196,Hydro,Netherlands,55.36,1762.72,1882.22,21.17,2023-03-16
300,Hydro,Italy,435.51,4267.63,1902.59,118.29,2023-07-31
223,Wind,France,425.83,1523.53,748.97,48.82,2024-05-29
286,Wind,Netherlands,82.27,588.1,1304.11,164.2,2024-12-07
425,Gas,Italy,348.97,2307.21,615.69,79.14,2024-02-29
448,Coal,Netherlands,349.77,889.18,1706.24,59.1,2023-02-04
358,Coal,France,201.39,2183.22,1185.2,89.77,2023-05-05
247,Hydro,Italy,80.73,2947.87,1721.8,162.2,2023-08-27
351,Coal,Netherlands,70.39,4022.88,1492.18,66.05,2024-02-09
445,Hydro,Spain,371.04,3475.33,492.49,116.47,2024-12-13
246,Coal,France,113.99,3705.85,61.62,144.41,2024-12-12
247,Gas,France,303.71,2973.06,1966.36,73.85,2024-04-27
451,Wind,France,433.61,452.77,909.28,135.53,2023-09-07
298,Wind,Italy,298.58,4406.14,549.27,191.4,2024-02-29
407,Hydro,France,487.11,3505.82,1623.48,117.81,2024-01-21
227,Coal,Netherlands,324.52,3959.95,342.55,51.82,2023-04-23
138,Solar,Spain,160.73,4707.6,1014.02,134.7,2024-07-20
437,Gas,Netherlands,426.97,4842.26,838.48,196.22,2024-05-16
459,Coal,Netherlands,158.9,4819.27,253.2,156.31,2023-07-06
228,Solar,France,485.93,1384.46,1350.44,60.41,2023-07-18
366,Gas,Spain,241.48,4265.53,1766.2,86.84,2024-02-05
250,Gas,Spain,476.86,4795.39,1857.51,37.62,2024-01-31
397,Wind,Spain,95.88,3546.28,1112.11,109.13,2024-01-21
198,Hydro,Spain,10.64,3593.82,29.58,78.62,2024-07-02
362,Coal,Germany,102.08,4426.79,773.04,119.74,2024-02-26
351,Gas,Spain,53.69,1473.36,1099.2,47.22,2023-01-26
243,Coal,France,368.31,999.73,1936.66,196.96,2023-10-13
445,Gas,Spain,135.95,2212.96,888.2,85.55,2023-06-30
211,Wind,Netherlands,321.54,4751.9,704.43,112.57,2024-10-10
159,Hydro,Germany,335.99,349.32,1845.89,199.92,2023-10-01
468,Solar,Netherlands,345.68,2240.43,883.02,80.92,2024-07-03
101,Solar,France,417.14,3469.45,1912.29,86.85,2023-11-23
484,Wind,France,78.74,3273.8,635.88,164.68,2023-03-19
403,Gas,Spain,29.98,4059.01,1491.3,33.34,2023-05-14
353,Wind,France,19.7,1384.55,1686.9,67.28,2024-08-30
239,Hydro,Germany,56.38,1208.07,1774.01,108.36,2023-03-12
136,Solar,Netherlands,192.7,4145.85,594.07,123.35,2024-11-13
259,Coal,France,483.85,4137.28,1967.95,168.67,2024-10-30
108,Solar,France,179.85,1281.7,1485.45,155.01,2023-07-27
332,Hydro,Germany,229.2,2229.34,302.86,149.52,2024-02-18
198,Gas,Italy,408.13,2285.78,1519.0,89.5,2024-12-28
246,Wind,Italy,459.71,2590.69,1667.8,195.02,2023-05-06
403,Solar,Germany,485.86,4190.27,364.32,169.5,2024-05-05
307,Solar,France,414.09,3036.76,339.95,104.86,2024-12-20
230,Coal,Germany,253.75,2615.15,261.82,81.6,2023-06-17
251,Wind,Germany,118.59,1482.95,991.88,20.48,2023-09-05
153,Coal,Italy,301.19,250.01,1433.23,89.64,2023-03-21
219,Coal,Spain,102.41,4594.65,757.93,29.69,2024-10-18
260,Gas,France,32.58,3595.23,116.29,74.91,2024-01-10
215,Solar,Netherlands,460.08,418.3,719.38,55.47,2023-03-23
174,Wind,Germany,244.97,1522.85,1403.89,78.85,2023-03-29
212,Gas,Italy,256.58,3252.85,195.42,31.01,2023-12-29
203,Gas,Spain,306.56,1085.15,1113.3,159.77,2023-05-11
439,Gas,France,228.45,570.18,1207.63,35.88,2023-01-04
353,Hydro,Germany,224.99,2774.09,1301.95,149.24,2024-01-20
326,Hydro,Italy,458.0,1678.76,691.79,188.35,2024-12-07
211,Gas,Germany,409.19,4147.31,1854.72,108.23,2024-12-17
198,Hydro,Netherlands,110.23,4756.04,1989.94,161.28,2024-12-18
252,Wind,France,149.43,2958.93,1673.87,189.84,2024-10-21
448,Solar,France,332.01,3578.83,218.32,116.94,2024-03-09
483,Wind,France,287.69,4917.97,535.83,67.52,2023-08-09
465,Solar,France,384.25,1168.47,402.43,23.87,2024-11-07
437,Hydro,Italy,365.18,4529.07,105.82,98.08,2023-02-19
293,Wind,Netherlands,355.73,2818.74,1792.44,47.66,2024-10-04
409,Coal,Germany,440.71,978.82,376.55,173.86,2024-07-22
262,Gas,Italy,384.44,1481.38,752.4,162.55,2023-08-11
307,Solar,Spain,125.21,3456.0,750.02,152.16,2024-06-14
268,Solar,France,437.05,4613.77,1554.37,36.89,2023-05-16
260,Coal,France,171.09,638.91,895.91,136.6,2024-01-31
167,Coal,Germany,455.89,3214.31,742.22,76.13,2023-07-08
388,Gas,France,413.01,1915.59,530.49,107.61,2024-07-24
497,Hydro,France,41.67,1642.4,1053.91,194.77,2023-02-02
376,Wind,Germany,386.78,941.21,228.63,36.81,2024-09-27
403,Wind,Netherlands,252.56,4446.39,1234.25,138.03,2024-03-23
483,Wind,Italy,488.67,1853.06,1646.58,187.06,2023-02-01
491,Hydro,Netherlands,231.92,2244.27,1854.9,29.21,2023-06-13
234,Gas,Germany,38.17,1076.53,1262.63,131.8,2024-02-19
294,Wind,France,150.1,3058.83,1643.91,126.38,2023-04-30
227,Solar,France,217.95,2228.98,452.75,126.72,2023-12-22
132,Solar,Netherlands,298.0,1005.36,1028.36,69.61,2023-02-15
275,Solar,Spain,80.29,1586.89,567.88,149.87,2023-10-13
470,Coal,Italy,259.97,1986.28,1999.55,172.77,2023-02-02
474,Coal,France,244.32,431.05,751.67,75.04,2024-01-19
121,Hydro,Germany,419.15,306.71,446.26,52.24,2023-01-27
337,Wind,Netherlands,154.69,4962.81,1544.2,191.34,2024-06-28
257,Coal,Italy,227.51,4642.18,918.56,169.19,2023-01-05
137,Solar,Spain,197.36,2986.12,253.97,188.09,2024-07-19
329,Coal,France,317.95,1261.63,1576.86,43.22,2023-03-13
464,Solar,Netherlands,418.91,1200.44,964.64,177.64,2023-09-17
150,Wind,France,339.43,2230.6,1578.19,171.35,2023-12-20
363,Hydro,Netherlands,235.2,1961.47,1502.41,101.47,2024-08-16
382,Gas,Spain,320.73,3678.5,1140.5,92.96,2024-06-08
126,Gas,Germany,164.51,2065.19,1440.0,96.25,2023-01-13
325,Solar,Germany,76.33,4779.1,1712.63,128.07,2023-12-07
376,Coal,Italy,163.26,1301.9,897.55,129.13,2024-06-14
385,Coal,France,224.63,181.89,1912.3,165.02,2024-10-05
196,Solar,France,222.44,3036.36,363.89,85.4,2023-08-24
383,Wind,France,370.11,4940.27,1939.02,26.22,2024-01-20
466,Solar,Germany,468.49,4264.5,466.58,76.74,2023-10-29
416,Wind,Italy,197.53,75.81,1014.0,141.5,2024-03-31
403,Hydro,Germany,47.79,2897.26,939.76,174.99,2024-10-02
246,Hydro,Netherlands,21.54,2296.27,120.61,70.24,2023-07-07
103,Solar,France,6.96,3853.41,381.96,149.89,2024-02-05
134,Hydro,Netherlands,469.36,1300.97,1659.86,98.07,2023-03-11
291,Coal,Spain,497.84,1256.53,551.9,35.55,2024-02-12
148,Wind,Netherlands,30.44,1617.7,12.84,35.9,2023-12-14
116,Gas,Netherlands,182.31,1268.5,1649.02,50.76,2023-12-29
271,Gas,Netherlands,336.33,158.59,1904.1,147.33,2023-10-16
319,Hydro,Germany,93.58,3159.54,1064.26,171.69,2024-08-20
257,Wind,Netherlands,299.25,3083.13,1195.31,32.34,2024-05-30
145,Coal,France,407.74,4266.33,226.39,70.66,2023-03-22
472,Gas,Italy,429.75,3503.85,1894.79,181.35,2023-05-18
105,Coal,Spain,354.68,3222.3,424.05,136.27,2024-05-21
198,Coal,France,45.47,1198.86,1098.46,81.46,2024-11-02
479,Gas,Italy,177.46,3713.65,1930.17,130.96,2024-02-09
332,Gas,France,483.83,4284.12,895.33,79.24,2023-12-07
136,Hydro,Netherlands,100.41,2247.34,186.09,48.06,2023-01-16
379,Wind,Spain,229.69,2725.5,430.46,20.1,2024-10-11
448,Solar,France,170.42,3932.47,142.9,154.65,2024-07-28
401,Wind,Spain,106.74,2354.83,808.16,101.42,2023-06-19
280,Solar,Germany,165.15,3349.24,1178.12,172.18,2024-03-05
194,Gas,Germany,98.81,1113.38,898.06,164.71,2024-11-15
198,Coal,Netherlands,439.24,2942.05,688.89,26.5,2023-10-11
287,Wind,Netherlands,91.35,234.03,332.6,114.34,2023-05-29
215,Coal,Germany,313.65,1084.41,1397.69,81.24,2023-09-25
290,Wind,France,471.45,4608.32,1929.84,183.69,2023-11-02
352,Wind,Italy,476.56,2996.33,660.52,195.95,2023-09-30
260,Coal,Italy,302.21,2304.77,1041.88,63.58,2023-10-24
355,Hydro,Germany,139.09,2633.76,330.22,57.59,2024-09-20
422,Gas,Italy,127.71,50.15,149.01,46.53,2024-06-23
227,Hydro,France,375.0,2325.02,334.19,182.02,2024-09-03
117,Hydro,Italy,490.45,762.71,184.33,100.35,2023-10-02
380,Wind,Italy,43.41,4297.76,1233.73,60.56,2024-05-19
322,Gas,Germany,395.79,2096.94,1310.4,75.03,2024-07-16
153,Wind,Spain,65.88,1198.44,1997.13,92.89,2023-09-09
157,Solar,Spain,152.6,2583.65,1983.48,196.51,2024-08-21
422,Wind,France,285.48,1860.3,883.64,181.18,2023-05-08
459,Coal,Spain,152.13,2327.22,458.69,108.71,2024-04-20
273,Wind,Netherlands,326.88,3642.47,981.18,175.73,2023-03-19
379,Solar,Germany,211.51,2570.68,1795.31,63.06,2024-12-26
213,Wind,Spain,113.46,4579.02,1363.77,114.87,2024-05-30
387,Solar,Italy,267.81,1321.29,1238.09,160.88,2024-06-27
441,Gas,Spain,16.88,1664.02,1391.4,50.23,2023-03-16
250,Wind,Germany,371.83,3898.85,305.39,113.67,2023-01-14
226,Solar,Italy,263.53,3927.77,762.55,82.96,2023-03-07
254,Gas,Italy,473.62,4884.14,384.71,159.69,2023-01-30
485,Coal,Germany,55.88,3160.54,1898.51,174.77,2024-09-04
